johnnydmad EX5 test console
Using ff6.smc as source
Playlist file is set to default.txt

press enter to continue or type:
    "chaos" to test chaotic mode
    "sfxv" to check songs for errors, sorted by longest sequence variant
    "mem" to check songs for errors, sorted by highest memory use variant
    "pool" to simulate many seeds and report the observed probability pools for each track
    "battle" to simulate many seeds and report probabilities for only battle music
    "pl FILENAME" to set FILENAME as playlist instead of default
    "dm FILENAME" to generate a test tierboss MML file including FILENAME
pool


[--------------------------------------------------] 9999/10000
[PRELUDE]:
    03.1% xg_theme            (312 / 10000)
    03.0% fft_data            (305 / 10000)
    02.9% lu2_submarine       (294 / 10000)
    02.8% smb2_select         (281 / 10000)
    02.8% lu1_file            (281 / 10000)
    02.7% cc_eden             (269 / 10000)
    01.7% ff2_theme           (172 / 10000)
    01.7% bof2_unspoken       (167 / 10000)
    01.7% 7th_town            (166 / 10000)
    01.7% lu1_spoils          (166 / 10000)
    01.7% ff10_zanarkand      (166 / 10000)
    01.7% lu1_shopping        (165 / 10000)
    01.6% cc_home             (164 / 10000)
    01.6% ff5_cave            (164 / 10000)
    01.6% ct_town             (163 / 10000)
    01.6% ff5_world1          (160 / 10000)
    01.6% ff8_world           (158 / 10000)
    01.6% ff7_materia         (158 / 10000)
    01.6% sd2_dwarf           (157 / 10000)
    01.6% ff6_prelude:nointro (157 / 10000)
    01.6% iog_village:nobird  (156 / 10000)
    01.6% ff6_awakening       (155 / 10000)
    01.5% ff8_horizon         (154 / 10000)
    01.5% ct_singing          (153 / 10000)
    01.5% totr_wind           (153 / 10000)
    01.5% ff10_via            (152 / 10000)
    01.5% ff4_prologue        (151 / 10000)
    01.5% rs3_julian          (151 / 10000)
    01.5% iog_womb            (150 / 10000)
    01.5% ff7_costa           (150 / 10000)
    01.5% ffmq_rock           (150 / 10000)
    01.5% ff4_sorrow          (149 / 10000)
    01.5% ff5_home            (148 / 10000)
    01.5% cc_world2           (148 / 10000)
    01.5% ff1_end             (147 / 10000)
    01.5% sd2_forest          (147 / 10000)
    01.5% ff9_cleyra          (147 / 10000)
    01.5% ffmq_faeria         (146 / 10000)
    01.5% sd2_popoi           (145 / 10000)
    01.4% ct_600ad            (144 / 10000)
    01.4% lu1_parting         (144 / 10000)
    01.4% ff5_theme           (143 / 10000)
    01.4% mi_scummbar         (143 / 10000)
    01.4% 7th_ruins           (143 / 10000)
    01.4% sd2_prayer          (142 / 10000)
    01.4% sdlm_bonds          (142 / 10000)
    01.4% ff4_rydia           (140 / 10000)
    01.4% ff7_desert          (140 / 10000)
    01.4% totr_sion           (139 / 10000)
    01.4% ff3_world           (139 / 10000)
    01.4% ff7_tifa            (137 / 10000)
    01.4% sd3_charlotte       (137 / 10000)
    01.4% lu2_iris            (137 / 10000)
    01.4% ff6_prelude         (137 / 10000)
    01.4% ff9_home            (136 / 10000)
    01.3% ff4_troia           (133 / 10000)
    01.3% lu2_peace           (133 / 10000)
    01.3% ffmq_light          (130 / 10000)
    01.3% rs3_sarah           (127 / 10000)
    01.2% ff5_ship            (123 / 10000)
    01.2% ff9_rose            (121 / 10000)
    01.1% smrpg_road          (113 / 10000)
[OMEN3]:
    03.3% ff10_gagazet    (332 / 10000)
    03.2% ff4_prologue    (322 / 10000)
    03.0% sd2_angel       (300 / 10000)
    02.9% sd3_winter      (285 / 10000)
    02.6% rd_summer       (264 / 10000)
    02.5% met3_surface    (250 / 10000)
    01.7% ff7_temple      (174 / 10000)
    01.6% sdlm_bonds      (163 / 10000)
    01.6% ffmq_forest     (157 / 10000)
    01.6% sd3_angels      (156 / 10000)
    01.6% cc_miguel       (156 / 10000)
    01.6% top_world1      (155 / 10000)
    01.5% ff6_balance     (154 / 10000)
    01.5% ff5_world3      (154 / 10000)
    01.5% ff6_catastrophe (154 / 10000)
    01.5% totr_downfall   (153 / 10000)
    01.5% ng3_defeat      (153 / 10000)
    01.5% xc3_alfeto      (152 / 10000)
    01.5% ff6_ruin        (152 / 10000)
    01.5% ff7_reunion     (152 / 10000)
    01.5% ff14_burn       (150 / 10000)
    01.5% ct_schala       (150 / 10000)
    01.5% xcx_sylvan      (150 / 10000)
    01.5% ff6_omen3       (149 / 10000)
    01.5% top_treant      (149 / 10000)
    01.5% lu1_prologue    (149 / 10000)
    01.5% rs3_underwater  (147 / 10000)
    01.5% ff8_oath        (147 / 10000)
    01.5% ff12_paramina   (147 / 10000)
    01.5% cc_life         (146 / 10000)
    01.5% ff4_elder       (145 / 10000)
    01.4% sd2_8bells      (144 / 10000)
    01.4% sd1s_fate       (144 / 10000)
    01.4% ot_cliftlands   (144 / 10000)
    01.4% lu1_spoils      (144 / 10000)
    01.4% ot_stillsnow    (143 / 10000)
    01.4% tob_velvet      (143 / 10000)
    01.4% ff7_mako        (142 / 10000)
    01.4% ff7_5years      (141 / 10000)
    01.4% ff4_damcyan     (141 / 10000)
    01.4% top_mint        (140 / 10000)
    01.4% ff4_somewhere   (138 / 10000)
    01.4% bg3_camp        (138 / 10000)
    01.4% ff6_espers      (138 / 10000)
    01.4% ff4_redwings    (136 / 10000)
    01.4% xc1_valakn      (136 / 10000)
    01.4% tn_darkworld    (135 / 10000)
    01.4% pfwotr_warcamp  (135 / 10000)
    01.3% ff7_desert      (134 / 10000)
    01.3% cc_world2       (134 / 10000)
    01.3% tyr_theme       (133 / 10000)
    01.3% sd2_pureland    (133 / 10000)
    01.3% top_sylphs      (132 / 10000)
    01.3% totr_worlds     (131 / 10000)
    01.3% ct_zealpalace   (128 / 10000)
    01.3% bof2_dragnier   (128 / 10000)
    01.3% ys4_danan       (127 / 10000)
    01.3% fe15_whatlies   (127 / 10000)
    01.3% sd2_eternal     (127 / 10000)
    01.2% lu2_narvick     (125 / 10000)
    01.2% ff7_planet      (125 / 10000)
    01.2% ff12_crystal    (123 / 10000)
    01.2% ff8_witches     (122 / 10000)
    01.2% xc2_tantal      (122 / 10000)
[AWAKENING]:
    04.0% ff6_awakening       (405 / 10000)
    04.0% lu2_iris            (398 / 10000)
    04.0% ff7_tifa            (398 / 10000)
    04.0% dc2_garden          (395 / 10000)
    03.9% tn_evergreen        (393 / 10000)
    03.9% lu2_peace           (391 / 10000)
    03.8% top_mint            (378 / 10000)
    03.8% ffmq_light          (378 / 10000)
    03.6% rtrek_world         (362 / 10000)
    02.2% xg_world            (220 / 10000)
    02.1% ff9_dali            (211 / 10000)
    02.1% lu2_parting         (208 / 10000)
    02.1% sd2_city            (208 / 10000)
    02.1% lu1_motif           (208 / 10000)
    02.1% tob_velvet          (206 / 10000)
    02.0% lagoon_spirits      (204 / 10000)
    02.0% lu2_world           (203 / 10000)
    02.0% ff2_theme           (203 / 10000)
    02.0% top_freeze          (200 / 10000)
    02.0% xg_tears            (200 / 10000)
    02.0% sd3_pray            (200 / 10000)
    02.0% totr_wind           (200 / 10000)
    02.0% iog_womb            (198 / 10000)
    02.0% cc_world2           (196 / 10000)
    01.9% bg3_camp            (194 / 10000)
    01.9% ff6_relm            (192 / 10000)
    01.9% ff6_ruintown        (191 / 10000)
    01.9% ff4_rydia           (191 / 10000)
    01.9% ff5_lenna           (190 / 10000)
    01.9% ff5_world3          (187 / 10000)
    01.9% lu1_spoils          (187 / 10000)
    01.8% ffmq_forest         (185 / 10000)
    01.8% sdlm_nostalgic      (184 / 10000)
    01.8% ffx_decision        (183 / 10000)
    01.8% sd3_angels          (179 / 10000)
    01.8% totr_sion           (178 / 10000)
    01.8% ff6_prelude:nointro (177 / 10000)
    01.8% ff4_rosa            (175 / 10000)
    01.8% totr_worlds         (175 / 10000)
    01.7% ff5_world2          (174 / 10000)
    01.7% ff7_aerith          (173 / 10000)
    01.6% sd2_8bells          (162 / 10000)
    01.6% sd1s_risingsun      (160 / 10000)
[BALANCE]:
    05.2% top_world1     (521 / 10000)
    05.1% cc_world2      (514 / 10000)
    05.1% ff9_world      (514 / 10000)
    05.1% cc_home        (513 / 10000)
    05.1% ff6_omen3      (512 / 10000)
    05.1% ff3_world      (506 / 10000)
    05.1% xg_world       (505 / 10000)
    05.0% ff1_world      (501 / 10000)
    05.0% xc3_alfeto     (495 / 10000)
    04.9% lu2_world      (486 / 10000)
    04.8% ff4_world      (481 / 10000)
    04.8% lu1_world      (479 / 10000)
    04.8% ff6_balance    (475 / 10000)
    04.7% ff5_world2     (466 / 10000)
    04.6% ff12_estersand (459 / 10000)
    02.6% sd2_field      (259 / 10000)
    02.6% ff4_cave       (257 / 10000)
    02.5% ff8_world      (255 / 10000)
    02.4% lotr_hobbits   (244 / 10000)
    02.4% ff2_theme      (241 / 10000)
    02.4% lotr_aragorn   (240 / 10000)
    02.3% ff4_underworld (226 / 10000)
    02.2% fe15_whatlies  (220 / 10000)
    02.2% ff5_world3     (217 / 10000)
    02.1% ot_cliftlands  (214 / 10000)
    02.0% totr_worlds    (200 / 10000)
[SHADOW]:
    06.2% ot_sunshade     (619 / 10000)
    06.2% ff8_mlaw        (619 / 10000)
    06.0% ff6_shadow      (605 / 10000)
    05.9% totr_downfall   (591 / 10000)
    05.7% zoot_storms     (573 / 10000)
    03.3% sd2_scorpion    (332 / 10000)
    03.3% sd2_intruder    (326 / 10000)
    03.1% ff6_zozo        (315 / 10000)
    03.1% met3_surface    (310 / 10000)
    03.1% ff7_pizza       (309 / 10000)
    03.0% ys3_house       (305 / 10000)
    03.0% ot_cliftlands   (299 / 10000)
    03.0% ff5_curse       (298 / 10000)
    03.0% wa_zed          (297 / 10000)
    02.9% lu2_narvick     (295 / 10000)
    02.9% sd2_lofty       (293 / 10000)
    02.9% sd2_legend      (292 / 10000)
    02.9% sd3_blackmarket (291 / 10000)
    02.9% totr_ruins      (291 / 10000)
    02.9% ff6_narshe      (290 / 10000)
    02.9% ff6_martiallaw  (287 / 10000)
    02.8% mi_scummbar     (284 / 10000)
